Bedroom,Bathroom,Den,Address,Lat,Long,Price
2,2,0,"3985 Grand Park Drive, 3985 Grand Park Dr, Mississauga, ON L5B 0H8, Canada",43.5816391,-79.648193,2450
1,1,1,"361 Front St W, Toronto, ON M5V 3R5, Canada",43.6430505,-79.3916429,2150
1,1,0,"89 McGill Street, Toronto, ON, M5B 0B1",43.6606054,-79.3786354,1950
2,2,0,"10 York Street, Toronto, ON, M5J 0E1",43.6410868,-79.3814048,2900
1,1,0,"80 St Patrick St, Toronto, ON M5T 2X6, Canada",43.6524873,-79.3896218,1800
1,1,0,"87 Jameson Avenue, Toronto, ON, M6K 2W8",43.6348903,-79.4346541,1729
2,1,0,"700  Ross Street, Burlington, ON, L7S 1S2",43.3289855,-79.8086183,1685
1,1,0,"25 Telegram Mews, Toronto, ON, M5V 3Z2",43.6409179,-79.3939821,1900
1,1,0,"560 Front St W, toronto, ON, M5V 0L5",43.6413078,-79.4000933,1900
1,1,1,"70 Queens Wharf Rd 33rd Floor, Toronto, ON M5V 0J2, Canada",43.6400685,-79.3999604,2400
1,1,0,"545 - 555  Sherbourne Street, Toronto, ON, M4X 1W5",43.6684679,-79.3748336,1750
2,1,0,"545 - 555  Sherbourne Street, Toronto, ON, M4X 1W5",43.6684679,-79.3748336,2000
1,1,0,"555 Yonge St, Toronto, ON M4Y 3A6, Canada",43.6647233,-79.3840836,2200
1,1,1,"M5J, Canada",43.6408157,-79.3817523,2350
1,1,0,"295 Adelaide St W, Toronto, ON M5V 0L4, Canada",43.6476273,-79.3904081,2650
1,1,0,"191 - 201 Sherbourne, Toronto, ON, M5A 3X2",43.6567414,-79.3699948,1799
1,1,0,"191 - 201 Sherbourne, Toronto, ON, M5A 3X2",43.6567414,-79.3699948,1899
1,1,0,"89 McGill Street, Toronto, ON, M5B 0B1",43.6606054,-79.3786354,1950
2,2,0,"3985 Grand Park Drive, 3985 Grand Park Dr, Mississauga, ON L5B 0H8, Canada",43.5816391,-79.648193,2450
2,2,0,"11 Brunel Ct, Toronto, ON M5V 3Y3, Canada",43.6394055,-79.3932324,3150
2,2,0,"12 Yonge St, Toronto, ON M5E 1Z9, Canada",43.6431051,-79.375906,3200
1,1,0,"438 Richmond St W, Toronto, ON M5V 1X9, Canada",43.6480053,-79.3968338,2500
1,1,1,"12 York St, Toronto, ON M5J 2Z2, Canada",43.6418726,-79.3819064,2400
1,1,0,"7934 Kipling Ave, Woodbridge, ON L4L 1Z5, Canada",43.7831897,-79.5985666,1750
2,2,0,"York St, Toronto, ON M5J 2Z2, Canada",43.6423144,-79.3812291,3100
2,2,0,"10 Park Lawn Rd, Etobicoke, ON M8Y 3K4, Canada",43.6232891,-79.4836951,2999
1,1,0,", Toronto M3H4Z2 ON, Canada",43.7598859,-79.4431384,1250
1,1,0,"33 Gamble Ave, East York, ON M4K 2H5, Canada",43.6893623,-79.3528481,1825
1,1,1,"9 George St N, Brampton, ON L6X 0T6, Canada",43.6852857,-79.7614922,1900
2,1,0,"33 Gamble Ave, East York, ON M4K 2H5, Canada",43.6893623,-79.3528481,2245
1,1,0,"10 York Street, Toronto, ON, M5J 0E1",43.6410868,-79.3814048,2200
1,1,0,"80 St Patrick St, Toronto, ON M5T 2X6, Canada",43.6524873,-79.3896218,1800
1,1,0,"10 York Street, Toronto, ON, M5J 0E1",43.6410868,-79.3814048,2200
2,2,0,"10 York Street, Toronto, ON, M5J 0E1",43.6410868,-79.3814048,2900
1,1,0,"126 Simcoe str, Toronto Downtown M5V 1T8 ON",43.6489727,-79.3872946,2299
1,1,0,"89 McGill Street, Toronto, ON, M5B 0B1",43.6606054,-79.3786354,1950
1,1,0,"89 McGill Street, Toronto, ON, M5B 0B1",43.6606054,-79.3786354,1950
2,2,0,"10 York Street, Toronto, ON, M5J 0E1",43.6410868,-79.3814048,2900
1,1,0,"28 Linden Street, Toronto, ON, M4Y 0A4",43.670878,-79.3766958,1950
1,1,1,"832 Bay St, Toronto, ON M5S 1Z6, Canada",43.661927,-79.3865112,2250
2,1.5,0,"1375 Stephenson Dr Unit 24, Burlington, ON L7S 2M5, Canada",43.3316744,-79.8153544,2000
2,2,0,"70 Temperance St, Toronto, ON M5H 0B1, Canada",43.6505597,-79.3820722,2800
1,1,0,"70 Temperance St, Toronto, ON M5H 0B1, Canada",43.6505597,-79.3820722,1900
1,1,0,"70 Temperance St, Toronto, ON M5H 0B1, Canada",43.6505597,-79.3820722,1900
1,1,0,"Downtown Port Credit, Mississauga, ON, L5G 1G4",43.5583525,-79.5788687,1727
2,1,0,"200 Dufferin Street, Toronto, ON, M6K 1Z4",43.6371527,-79.4270923,2230
1,1,0,"392 Sherbourne Street, Toronto, ON, M4X 1K3",43.6640557,-79.3737903,1785
1,1,0,"392 Sherbourne Street, Toronto, ON, M4X 1K3",43.6640557,-79.3737903,1535
2,2,0,"10 York Street, Toronto, ON, M5J 0E1",43.6410868,-79.3814048,2900
1,1,0,"80 St Patrick St, Toronto, ON M5T 2X6, Canada",43.6524873,-79.3896218,1800
2,2,0,"12 Yonge St, Toronto, ON M5E 1Z9, Canada",43.6431051,-79.375906,3200
2,2,0,"290 Adelaide St W, Toronto, ON M5V 1P6, Canada",43.64787,-79.391138,2350
1,1,0,"200 Dufferin Street, Toronto, ON, M6K 1Z4",43.6371527,-79.4270923,1475
1,1,0,"36 Maitland Street, Toronto, ON, M4Y 1C5",43.6645808,-79.3822956,1815
1,1,0,"200 Dufferin Street, Toronto, ON, M6K 1Z4",43.6371527,-79.4270923,1755
1,1,0,"15 Merchants Wharf, Toronto, ON, M5A 0N8",43.6450775,-79.3643417,2450
1,1,0,"105 George St, Toronto, ON M5A 0L4, Canada",43.6522103,-79.3707988,2200
2,1,0,"Dunlop St E, Whitby, ON L1N, Canada",43.8792747,-78.9346733,1350
1,1,1,"224 King St W, Toronto, ON, M5H 0A6",43.6473801,-79.3872741,2400
1,1,1,"11 Brunel Ct, Toronto, ON M5V 3Y3, Canada",43.6394055,-79.3932324,2424
1,1,0,"565 Sherbourne Street, Toronto, ON, M4X 1W5",43.6701586,-79.3756379,1700
1,1,0,"545 - 555  Sherbourne Street, Toronto, ON, M4X 1W5",43.6684679,-79.3748336,1400
1,1,0,"545 - 555  Sherbourne Street, Toronto, ON, M4X 1W5",43.6684679,-79.3748336,1700
1,1,0,"171 Main Street North, Brampton, ON, L6X 0H4",43.6887398,-79.7642676,1500
2,2,0,"3985 Grand Park Drive, 3985 Grand Park Dr, Mississauga, ON L5B 0H8, Canada",43.5816391,-79.648193,2450
1,1,0,"126 Simcoe str, Toronto Downtown M5V 1T8 ON",43.6489727,-79.3872946,2299
2,2,0,"12 Yonge St, Toronto, ON M5E 1Z9, Canada",43.6431051,-79.375906,3200
1,1,0,"318 Richmond St W, Toronto, ON M5V 0B4, Canada",43.6489001,-79.392205,2550
2,2,0,"11 Brunel Ct, Toronto, ON M5V 3Y3, Canada",43.6394055,-79.3932324,3150
2,1,0,"171 Main Street North, Brampton, ON, L6X 0H4",43.6887398,-79.7642676,1775
1,1,0,"Enterprise Blvd, Markham, ON, Canada",43.8506191,-79.3193975,1750
1,1,0,"100 Harbour St, Toronto, ON M5J 1B7, Canada",43.6418064,-79.3789807,1830
1,1,0,"28 Wellesley Street East, M4Y 0C4, Toronto, ON",43.6655881,-79.383028,2000
2,1,0,"2548 Eglinton Ave W, M6M 1T1, Toronto, ON",43.6911466,-79.4714355,1850
2,1,0,"101 Sheridan Ave, Toronto, ON M6K 2G8, Canada",43.6488578,-79.4330072,1300
1,1,1,"33 Bay St, Toronto, ON M5J 2Z3, Canada",43.6426791,-79.3769938,2275
2,1,0,"Port Hope, ON, Canada",43.9491784,-78.2934468,1595
1,2,1,"10 Capreol Ct, Toronto, ON M5V 4B3, Canada",43.6402232,-79.395951,2500
2,2,0,"235 Sherway Gardens Rd, Etobicoke, ON M9C 0A2, Canada",43.6092614,-79.558998,2380
1,1,0,"14 York St, Toronto, ON M5J 0B1, Canada",43.6419081,-79.3817798,2000
2,1,0,"295 Dufferin St., Toronto, ON, M6K 1Z6",43.6403508,-79.4275216,2574
2,1,0,"295 Dufferin St., Toronto, ON, M6K 1Z6",43.6403508,-79.4275216,2591
1,1,0,"51 Guestville Ave, York, ON M6N 4N1, Canada",43.682692,-79.4888656,1295
1,1,0,"89 Chestnut St, Toronto, ON M5G 1R1, Canada",43.6541547,-79.3852113,550
2,2,0,"Front St W, Toronto, ON M5V 3S8, Canada",43.6432077,-79.39211,3200
2,2,0,"290 Adelaide St W, Toronto, ON M5V 1P6, Canada",43.64787,-79.391138,2350
2,2,0,"10 York Street, Toronto, ON, M5J 0E1",43.6410868,-79.3814048,2900
